Team,GP,Wins,Losses,Pace,OffRtg,DefRtg,NetRtg,ND/FG,MD/FG,3P/FG,eFG%,ORB%,DRB%,TRB%,AST%,TOV%,FT/G,FTr
ALBA Berlin,19,18,1,71.4,123.7,101.8,21.9,50.1,21.1,28.8,58.0,38.9,75.9,58.0,60.5,18.5,25.3,0.318
Artland Dragons,19,9,10,70.4,113.0,115.0,-2.1,38.8,18.5,42.7,56.5,27.4,68.2,48.3,68.2,19.2,18.3,0.233
BL Braunschweig,19,9,10,71.2,106.8,111.8,-5.0,56.7,14.5,28.8,51.1,30.0,70.6,50.7,58.0,19.4,18.7,0.233
BG Goettingen,19,9,10,73.6,109.6,116.1,-6.5,46.3,16.6,37.1,52.0,31.0,68.1,49.1,62.1,20.0,19.9,0.265
Brose Baskets,19,16,3,68.8,120.1,101.4,18.8,45.9,18.9,35.2,56.8,27.6,74.4,53.0,58.4,16.9,23.8,0.340
Crailsheim Merlins,18,2,16,72.8,103.4,119.5,-16.1,53.9,16.9,29.1,49.0,30.6,68.0,48.2,55.2,19.1,22.8,0.256
Eisbaeren Bremerhaven,19,5,14,72.8,106.7,114.2,-7.5,46.5,16.3,37.2,50.2,33.7,70.9,51.2,57.8,20.8,19.3,0.228
EWE Baskets Oldenburg,18,11,7,72.0,116.0,111.1,4.9,46.9,15.4,37.7,53.7,33.0,67.3,50.1,57.0,18.4,18.1,0.235
FC Bayern Muenchen,19,15,4,74.1,120.4,103.9,16.5,46.8,14.0,39.2,55.2,32.0,74.4,53.6,62.5,15.7,24.2,0.275
Fraport Skyliners,19,9,10,69.0,109.2,108.1,1.1,49.2,15.0,35.9,53.4,28.2,72.3,50.6,63.2,20.1,19.5,0.255
Medi Bayreuth,18,7,11,68.7,107.8,111.2,-3.4,49.0,18.6,32.4,50.6,29.0,69.4,48.2,52.0,17.3,20.1,0.243
MHP Riesen Ludwigsburg,19,8,11,72.7,107.4,107.2,0.2,54.4,14.1,31.5,49.1,32.1,74.0,52.2,47.8,17.7,22.4,0.253
Mitteldeutscher BC,18,7,11,70.4,107.1,110.1,-3.0,41.7,13.2,45.1,50.2,26.4,68.5,47.1,57.1,16.6,20.9,0.250
Phoenix Hagen,18,7,11,77.6,107.8,113.3,-5.5,51.0,14.0,35.0,52.5,26.3,64.5,45.3,51.6,18.0,18.5,0.202
Ratiopharm Ulm,19,12,7,72.8,113.9,115.1,-1.1,50.7,9.6,39.7,53.4,28.6,70.5,50.1,54.8,17.9,26.6,0.362
TBB Trier,19,7,12,69.2,104.3,113.2,-9.0,45.6,16.9,37.5,52.6,23.2,65.6,45.6,50.7,19.2,20.1,0.258
Telekom Baskets Bonn,18,11,7,72.2,115.5,110.4,5.1,49.6,12.6,37.8,55.0,26.5,69.5,48.0,65.5,17.2,25.2,0.324
Walter Tigers Tuebingen,19,6,13,74.2,106.0,115.3,-9.4,45.3,20.2,34.5,50.0,30.8,70.8,50.8,64.4,19.4,20.7,0.244
