Team,GP,Wins,Losses,Pace,OffRtg,DefRtg,NetRtg,Opp ND/FG,Opp MD/FG,Opp 3P/FG,Opp eFG%,Opp ORB%,Opp DRB%,Opp TRB%,Opp AST%,Opp TOV%,Opp FT/G,Opp FTr
ALBA Berlin,19,18,1,71.4,123.7,101.8,21.9,42.8,19.7,37.6,50.1,24.1,61.1,42.0,60.5,20.7,19.8,0.209
Artland Dragons,19,9,10,70.4,113.0,115.0,-2.1,48.4,15.8,35.8,53.4,31.8,72.6,51.7,59.2,17.5,21.1,0.197
BL Braunschweig,19,9,10,71.2,106.8,111.8,-5.0,47.1,15.8,37.1,51.7,29.4,70.0,49.3,52.1,16.9,19.9,0.195
BG Goettingen,19,9,10,73.6,109.6,116.1,-6.5,49.4,13.2,37.3,56.7,31.9,69.0,50.9,62.5,19.9,22.9,0.198
Brose Baskets,19,16,3,68.8,120.1,101.4,18.8,52.2,15.8,32.1,48.0,25.6,72.4,47.0,56.0,19.0,22.1,0.233
Crailsheim Merlins,18,2,16,72.8,103.4,119.5,-16.1,49.2,13.9,36.9,57.9,32.0,69.4,51.8,55.4,17.5,17.2,0.149
Eisbaeren Bremerhaven,19,5,14,72.8,106.7,114.2,-7.5,45.9,14.6,39.4,54.6,29.1,66.3,48.8,60.8,18.7,26.7,0.241
EWE Baskets Oldenburg,18,11,7,72.0,116.0,111.1,4.9,48.4,18.1,33.5,50.3,32.7,67.0,49.9,58.5,17.9,22.1,0.218
FC Bayern Muenchen,19,15,4,74.1,120.4,103.9,16.5,44.6,17.7,37.7,49.5,25.6,68.0,46.4,62.5,17.3,18.8,0.185
Fraport Skyliners,19,9,10,69.0,109.2,108.1,1.1,44.1,17.8,38.1,52.1,27.7,71.8,49.4,63.7,19.2,21.1,0.215
Medi Bayreuth,18,7,11,68.7,107.8,111.2,-3.4,47.2,14.4,38.5,53.8,30.6,71.0,51.8,49.5,19.7,22.4,0.217
MHP Riesen Ludwigsburg,19,8,11,72.7,107.4,107.2,0.2,41.9,15.2,42.9,52.3,26.0,67.9,47.8,67.8,20.3,24.8,0.239
Mitteldeutscher BC,18,7,11,70.4,107.1,110.1,-3.0,54.3,17.5,28.2,50.3,31.5,73.6,52.9,50.3,17.0,21.6,0.202
Phoenix Hagen,18,7,11,77.6,107.8,113.3,-5.5,55.7,13.6,30.6,54.2,35.5,73.7,54.7,59.7,19.8,21.4,0.181
Ratiopharm Ulm,19,12,7,72.8,113.9,115.1,-1.1,51.2,14.7,34.1,53.8,29.5,71.4,49.9,58.0,16.3,17.9,0.161
TBB Trier,19,7,12,69.2,104.3,113.2,-9.0,47.2,13.7,39.1,51.5,34.4,76.8,54.4,60.7,17.9,20.3,0.191
Telekom Baskets Bonn,18,11,7,72.2,115.5,110.4,5.1,53.9,15.3,30.7,53.9,30.5,73.5,52.0,55.4,19.9,20.6,0.189
Walter Tigers Tuebingen,19,6,13,74.2,106.0,115.3,-9.4,44.8,19.4,35.7,54.2,29.2,69.2,49.2,56.8,16.2,24.1,0.201
