Team,GP,W,L,Pace,OffRtg,DefRtg,NetRtg,ND/FG,MD/FG,3P/FG,eFG%,ORB%,DRB%,TRB%,AST%,TOV%,FT/G,FTr
ALBA BERLIN,12,7,5,69.0,115.6,113.6,2.0,39.6,24.9,35.4,52.2,31.2,72.1,50.4,55.3,15.1,22.4,0.260
Artland Dragons,8,4,4,66.6,111.5,111.9,-0.4,41.4,16.7,41.9,53.0,25.4,70.5,48.7,61.2,17.2,19.9,0.285
Brose Baskets,4,1,3,67.3,110.7,113.3,-2.6,46.4,20.4,33.2,53.6,30.7,71.9,50.6,61.1,17.8,18.3,0.196
EWE Baskets Oldenburg,10,5,5,69.5,100.6,104.2,-3.6,47.9,20.9,31.2,46.0,27.6,66.1,46.9,54.6,17.3,21.9,0.252
FC Bayern Muenchen,13,9,4,70.1,120.5,106.9,13.7,38.4,27.0,34.7,53.2,35.0,74.4,56.1,49.0,17.2,25.5,0.354
MHP RIESEN Ludwigsburg,4,1,3,73.7,99.1,126.9,-27.8,43.9,12.2,43.9,44.9,20.3,68.0,41.1,44.1,15.3,24.3,0.289
ratiopharm ulm,4,1,3,72.9,108.0,114.9,-6.9,50.2,14.7,35.1,49.8,26.7,67.8,48.0,61.2,18.5,28.3,0.404
Telekom Baskets Bonn,5,2,3,70.0,95.3,97.2,-1.9,42.1,18.1,39.8,40.6,31.0,69.3,50.1,64.0,19.6,26.2,0.320
