Team,GP,W,L,Pace,OffRtg,DefRtg,NetRtg,Opp ND/FG,Opp MD/FG,Opp 3P/FG,Opp eFG%,Opp ORB%,Opp DRB%,Opp TRB%,Opp AST%,Opp TOV%,Opp FT/G,Opp FTr
ALBA BERLIN,4,3,1,66.0,113.1,109.8,3.3,40.8,15.6,43.6,50.5,22.6,71.8,47.8,52.2,18.0,25.8,0.288
Artland Dragons,4,1,3,66.0,109.8,113.1,-3.3,40.8,30.0,29.2,50.6,28.2,77.4,52.2,57.1,15.4,22.8,0.234
EWE Baskets Oldenburg,5,2,3,68.9,104.2,113.3,-9.1,36.1,31.0,32.8,49.0,37.0,75.5,56.3,46.9,16.9,19.0,0.200
FC Bayern Muenchen,5,3,2,68.9,113.3,104.2,9.1,38.3,23.6,38.0,48.1,24.5,63.0,43.8,53.7,15.2,22.0,0.202

