Team,GP,W,L,Pace,OffRtg,DefRtg,NetRtg,ND/FG,MD/FG,3P/FG,eFG%,ORB%,DRB%,TRB%,AST%,TOV%,FT/G,FTr
ALBA BERLIN,42,33,9,70.8,114.9,100.3,14.7,45.3,21.9,32.8,53.2,33.6,72.8,53.2,54.2,18.2,23.3,0.284
Artland Dragons,42,24,18,70.1,108.6,108.8,-0.3,43.8,16.9,39.3,53.2,28.3,69.5,49.2,61.9,18.4,17.0,0.208
medi bayreuth,34,11,23,70.9,105.2,110.7,-5.5,48.1,19.0,33.0,51.5,30.3,71.3,51.4,57.5,20.8,17.6,0.216
Brose Baskets,38,29,9,70.1,113.2,101.5,11.7,48.2,15.8,35.9,54.6,29.9,70.9,51.3,61.4,17.8,21.6,0.258
EWE Baskets Oldenburg,44,30,14,71.6,109.8,105.2,4.6,47.6,17.1,35.3,51.2,28.6,69.0,49.0,56.1,17.6,24.0,0.294
Eisbaeren Bremerhaven,34,12,22,71.8,106.4,111.3,-4.8,51.9,19.2,28.9,50.8,36.8,68.2,52.8,50.6,23.0,19.9,0.242
FC Bayern Muenchen,43,35,8,71.9,119.4,102.0,17.4,44.6,21.4,34.0,53.1,32.5,74.8,54.6,56.9,15.8,24.8,0.327
FRAPORT SKYLINERS,34,14,20,68.3,102.4,106.6,-4.2,46.9,13.6,39.5,51.7,28.1,71.3,50.4,58.3,23.7,18.9,0.269
RASTA Vechta,34,6,28,73.3,104.1,113.6,-9.6,53.0,13.4,33.5,47.8,35.7,69.1,51.7,46.4,19.7,21.6,0.235
Mitteldeutscher BC,34,16,18,71.6,107.1,112.0,-4.8,41.7,15.8,42.5,50.1,28.1,68.3,47.4,50.8,17.6,20.1,0.240
MHP RIESEN Ludwigsburg,38,19,19,72.2,108.5,110.2,-1.7,52.7,13.0,34.3,50.0,31.0,71.7,50.8,44.3,17.8,23.9,0.290
NY Phantoms Braunschweig,34,11,23,71.1,106.7,112.2,-5.4,45.4,13.3,41.3,51.7,24.9,68.3,46.9,55.9,18.4,18.7,0.249
Phoenix Hagen,34,15,19,77.2,104.3,110.1,-5.8,48.6,21.6,29.7,47.4,28.1,67.3,46.8,42.7,17.7,22.6,0.275
ratiopharm ulm,38,21,17,72.7,111.7,108.4,3.3,48.5,13.8,37.7,51.8,31.3,70.9,51.2,55.4,17.8,23.2,0.279
TBB Trier,34,12,22,70.3,104.8,110.3,-5.5,45.9,15.0,39.1,50.5,27.1,67.6,47.1,44.6,19.9,20.0,0.249
Telekom Baskets Bonn,39,23,16,70.4,108.8,107.5,1.4,47.2,14.2,38.6,51.0,28.4,68.9,48.2,58.0,17.3,22.8,0.273
WALTER Tigers Tuebingen,34,10,24,72.6,103.3,113.5,-10.2,46.5,13.7,39.8,49.4,26.6,71.7,48.3,60.5,18.7,20.1,0.245
s.Oliver Baskets,34,11,23,71.1,102.8,108.5,-5.8,42.7,14.7,42.6,51.7,24.9,70.8,48.2,49.1,20.4,18.4,0.223
