Team,GP,W,L,Pace,OffRtg,DefRtg,NetRtg,Opp ND/FG,Opp MD/FG,Opp 3P/FG,Opp eFG%,Opp ORB%,Opp DRB%,Opp TRB%,Opp AST%,Opp TOV%,Opp FT/G,Opp FTr
ALBA BERLIN,4,1,3,68.1,118.9,123.3,-4.4,39.8,24.8,35.4,56.8,35.1,67.1,52.9,52.0,20.2,32.0,0.304
FC Bayern Muenchen,4,3,1,68.1,123.3,118.9,4.4,39.2,22.0,38.8,51.8,32.9,64.9,47.1,54.8,12.1,21.3,0.185
