Team,GP,W,L,Pace,OffRtg,DefRtg,NetRtg,ND/FG,MD/FG,3P/FG,eFG%,ORB%,DRB%,TRB%,AST%,TOV%,FT/G,FTr
ALBA BERLIN,4,1,3,68.1,118.9,123.3,-4.4,39.2,22.0,38.8,51.8,32.9,64.9,47.1,54.8,12.1,21.3,0.235
FC Bayern Muenchen,4,3,1,68.1,123.3,118.9,4.4,39.8,24.8,35.4,56.8,35.1,67.1,52.9,52.0,20.2,32.0,0.495
