Team,GP,W,L,Pace,OffRtg,DefRtg,NetRtg,Opp ND/FG,Opp MD/FG,Opp 3P/FG,Opp eFG%,Opp ORB%,Opp DRB%,Opp TRB%,Opp AST%,Opp TOV%,Opp FT/G,Opp FTr
ALBA BERLIN,49,32,17,70.5,115.4,105.8,9.6,46.9,19.2,33.9,51.9,28.0,73.1,50.1,54.1,20.1,23.1,0.220
Artland Dragons,44,28,16,71.1,111.7,103.7,8.1,49.7,18.5,31.7,49.1,25.7,68.7,45.9,49.8,16.7,19.4,0.188
Gloria GIANTS Duesseldorf,34,7,27,70.6,93.0,109.6,-16.7,46.6,17.4,36.0,53.8,29.2,73.9,52.9,56.8,19.5,18.7,0.171
Brose Baskets,47,41,6,70.9,114.8,95.1,19.7,51.3,17.7,31.1,45.5,28.2,74.6,50.1,48.4,20.2,17.3,0.187
EWE Baskets Oldenburg,39,22,17,72.1,106.9,108.4,-1.5,48.7,21.9,29.4,51.3,30.4,72.1,51.6,46.6,18.6,23.8,0.219
Eisbaeren Bremerhaven,37,18,19,72.2,107.9,110.6,-2.6,48.6,13.4,38.0,53.1,30.2,71.6,51.2,57.9,19.3,21.8,0.202
Mitteldeutscher BC,34,8,26,68.3,99.3,110.9,-11.6,43.9,20.0,36.1,52.7,29.5,68.9,50.2,50.7,19.0,23.4,0.221
DEUTSCHE BANK SKYLINERS,42,31,11,68.6,111.6,101.4,10.2,49.7,17.4,32.9,48.3,29.1,65.8,47.4,47.4,20.1,22.5,0.224
LTi GIESSEN 46ers,34,9,25,69.8,99.4,111.5,-12.1,49.5,16.1,34.3,54.9,27.3,72.0,50.1,51.2,18.0,20.2,0.184
BG Goettingen,37,19,18,69.7,104.2,101.9,2.3,43.5,15.6,40.9,49.1,30.1,67.7,49.7,62.3,21.8,24.5,0.240
EnBW Ludwigsburg,34,18,16,71.5,110.2,113.1,-2.8,50.0,16.6,33.4,52.7,30.4,73.8,50.8,48.4,16.0,19.4,0.172
NY Phantoms Braunschweig,39,22,17,70.1,110.6,108.8,1.9,53.5,16.0,30.5,51.7,29.6,71.4,50.2,47.4,18.4,21.5,0.206
Phoenix Hagen,34,15,19,77.1,110.3,112.4,-2.1,55.6,14.3,30.1,54.0,33.9,72.1,53.6,47.2,19.8,22.9,0.192
ratiopharm Ulm,34,12,22,73.5,108.5,110.6,-2.0,48.3,19.1,32.6,51.0,28.6,65.7,46.9,50.0,15.1,21.1,0.189
TBB Trier,34,17,17,66.3,104.4,104.5,-0.1,46.5,18.6,35.0,49.0,31.5,69.8,50.5,48.9,19.3,19.4,0.199
Telekom Baskets Bonn,34,14,20,71.1,105.3,108.4,-3.1,46.1,18.0,35.9,51.5,28.0,68.6,48.4,55.9,18.1,24.4,0.231
WALTER Tigers Tuebingen,34,6,28,34.5,105.2,109.7,-4.5,48.4,15.4,36.2,51.3,30.6,72.0,52.3,57.5,19.0,12.1,0.240
BBC Bayreuth,34,9,25,70.3,105.0,114.0,-9.1,50.3,16.2,33.5,53.4,30.1,72.0,51.3,52.7,16.9,23.9,0.214
