Team,GP,W,L,Pace,OffRtg,DefRtg,NetRtg,ND/FG,MD/FG,3P/FG,eFG%,ORB%,DRB%,TRB%,AST%,TOV%,FT/G,FTr
ALBA BERLIN,15,8,7,71.0,112.9,107.5,5.4,50.2,23.5,26.3,52.7,30.6,72.5,51.8,53.3,18.5,24.8,0.321
Artland Dragons,10,5,5,71.0,107.1,107.1,0.0,50.6,13.8,35.6,50.0,30.4,76.4,54.1,53.0,20.4,25.0,0.342
Brose Baskets,13,9,4,71.5,111.7,102.7,9.0,47.8,13.3,38.9,54.4,24.7,73.2,49.7,59.3,16.7,22.9,0.278
EWE Baskets Oldenburg,5,2,3,74.5,105.2,117.8,-12.6,44.2,17.9,37.9,53.9,26.0,68.9,46.7,48.9,20.1,25.4,0.298
Eisbaeren Bremerhaven,3,0,3,73.5,100.7,120.3,-19.5,57.1,17.2,25.8,46.7,24.0,66.7,44.7,60.2,13.2,18.3,0.187
DEUTSCHE BANK SKYLINERS,8,5,3,67.7,110.3,104.4,5.9,43.0,13.4,43.6,50.4,34.2,70.7,51.8,58.1,19.4,22.8,0.289
BG Goettingen,3,0,3,66.2,92.6,118.3,-25.7,50.9,14.4,34.7,43.4,29.2,62.5,45.2,33.9,18.1,21.3,0.234
NY Phantoms Braunschweig,5,2,3,70.2,107.7,117.1,-9.4,50.2,16.3,33.6,51.7,27.0,63.2,44.3,48.2,17.4,19.6,0.223
