Team,GP,W,L,Pace,OffRtg,DefRtg,NetRtg,ND/FG,MD/FG,3P/FG,eFG%,ORB%,DRB%,TRB%,AST%,TOV%,FT/G,FTr
ALBA Berlin,4,1,3,64.9,104.2,110.9,-6.7,43.0,16.8,40.2,51.6,23.4,70.8,46.4,56.4,19.0,21.0,0.271
Brose Baskets,11,9,2,66.4,119.6,100.3,19.3,50.7,10.4,39.0,53.5,25.2,69.6,48.4,52.7,13.8,30.5,0.391
EWE Baskets Oldenburg,4,1,3,66.0,109.9,109.2,0.8,43.6,12.4,44.0,52.5,30.2,65.6,49.0,43.7,20.5,19.5,0.280
Eisbaeren Bremerhaven,10,5,5,69.4,106.7,107.1,-0.4,44.3,12.7,43.0,50.1,32.2,66.4,49.4,60.3,21.6,27.0,0.359
DEUTSCHE BANK SKYLINERS,14,8,5,61.0,103.4,104.2,-0.8,45.9,14.8,39.3,49.9,28.5,73.6,51.3,53.7,19.2,17.9,0.236
BG Goettingen,5,2,3,72.8,111.9,113.0,-1.1,53.1,7.1,39.9,51.1,37.0,63.9,49.9,46.5,20.1,23.8,0.286
NY Phantoms Braunschweig,7,3,4,67.7,109.7,116.4,-6.8,50.0,17.4,32.6,52.5,30.0,72.1,50.0,44.4,18.1,19.7,0.244
Telekom Baskets Bonn,3,0,3,68.9,111.8,119.5,-7.7,44.6,19.3,36.1,49.1,35.0,72.3,53.4,50.0,19.4,30.7,0.410
