Team,GP,W,L,Pace,OffRtg,DefRtg,NetRtg,ND/FG,MD/FG,3P/FG,eFG%,ORB%,DRB%,TRB%,AST%,TOV%,FT/G,FTr
ALBA Berlin,34,26,7,66.6,118.3,108.6,9.7,48.2,18.0,33.7,58.7,29.4,71.7,51.8,49.8,18.4,19.6,0.261
Artland Dragons,34,25,8,69.4,110.8,101.0,9.8,44.6,20.4,35.0,56.5,27.5,70.8,50.2,48.5,20.8,22.1,0.295
Bayer Giants Leverkusen,34,25,9,75.0,110.8,104.9,6.0,46.0,15.5,38.5,52.7,31.1,67.9,50.1,54.4,19.1,24.9,0.290
Brose Baskets,34,23,11,67.4,110.4,98.4,12.0,45.2,14.6,40.2,54.9,30.4,71.6,52.5,55.6,20.4,22.3,0.278
EWE Baskets Oldenburg,34,21,13,70.4,108.0,103.7,4.2,43.9,14.5,41.6,51.9,30.3,66.9,49.2,49.6,20.6,23.1,0.287
Eisbaeren Bremerhaven,34,19,15,72.5,108.0,106.9,1.1,44.8,18.4,36.8,52.3,30.7,70.2,51.1,47.2,20.7,24.1,0.289
Science City Jena,34,5,29,70.6,98.3,111.8,-13.5,42.1,17.5,40.5,48.8,30.2,71.1,51.3,52.1,23.3,18.7,0.244
DEUTSCHE BANK SKYLINERS,34,21,13,69.4,107.7,104.3,3.4,40.5,21.2,38.3,51.9,28.3,69.3,49.3,51.0,18.5,19.1,0.234
LTi GIESSEN 46ers,34,9,25,70.5,106.0,115.6,-9.6,45.7,17.6,36.6,50.8,26.8,69.1,47.4,45.3,18.4,24.6,0.294
BG 74 Goettingen,34,13,21,74.5,105.3,108.3,-3.0,44.1,21.5,34.3,48.7,32.5,66.6,48.1,34.2,17.2,20.6,0.204
EnBW Ludwigsburg,34,15,19,72.9,110.8,110.6,0.2,43.9,19.5,36.6,52.1,32.1,66.5,48.7,42.8,18.9,23.0,0.272
NY Phantoms Braunschweig,34,17,17,71.3,104.5,105.8,-1.4,47.1,18.2,34.7,51.4,28.3,68.9,48.2,45.2,19.2,19.7,0.229
Koeln 99ers,34,16,18,70.6,109.7,111.4,-1.6,47.0,17.7,35.4,53.2,33.2,69.1,51.0,54.0,20.7,23.5,0.294
ratiopharm Ulm,34,16,18,73.1,112.8,113.1,-0.3,50.1,13.4,36.5,51.1,37.2,69.2,52.7,45.1,17.8,24.0,0.247
TBB Trier,34,7,27,71.9,103.5,113.9,-10.4,43.9,18.6,37.6,51.9,27.6,69.4,47.9,50.1,21.4,22.6,0.283
Telekom Baskets Bonn,34,21,13,69.8,109.0,105.6,3.3,50.9,20.7,28.4,50.9,34.4,68.6,50.6,41.9,19.6,22.0,0.272
WALTER Tigers Tuebingen,34,10,24,68.4,103.0,112.6,-9.6,41.8,20.0,38.2,50.8,33.1,70.8,52.0,45.8,21.4,19.3,0.212
digibu Baskets,34,16,18,73.4,108.3,107.7,0.6,43.2,27.8,29.0,50.8,27.5,70.2,48.0,45.1,17.8,25.1,0.296
