Team,GP,W,L,Pace,OffRtg,DefRtg,NetRtg,ND/FG,MD/FG,3P/FG,eFG%,ORB%,DRB%,TRB%,AST%,TOV%,FT/G,FTr
ALBA BERLIN,3,0,3,72.4,102.7,117.9,-15.2,36,26.9,37.1,47.3,31.8,79.8,53.3,53.9,19.3,20.7,0.253
Artland Dragons,3,0,3,70.3,107.6,126.6,-19,42.1,22.6,35.3,51.1,20.4,69.3,44,43,12.3,15.3,0.174
Brose Baskets,12,9,3,75.2,113.5,104.8,8.7,46,11,43,54.1,28.5,68.9,50.3,67.6,19,25.8,0.323
EWE Baskets Oldenburg,13,6,7,71.1,107.1,102,5.2,44.9,23.5,31.6,49.7,29.9,71.6,51.6,51.3,17.9,24.1,0.292
FC Bayern Muenchen,8,5,3,73.2,113,111.9,1.2,45.5,18.6,35.9,52,25.1,70.7,48.1,55.1,15.9,28.4,0.359
Phoenix Hagen,4,1,3,82.9,101.9,115.8,-13.9,48.3,11.4,40.3,47.7,30.8,74.5,49.8,45.9,18.4,18.5,0.181
ratiopharm ulm,8,5,3,70.4,109.8,106.1,3.7,36.7,23.7,39.6,48.9,30.8,79.4,53.8,39.4,16.3,18.3,0.224
Telekom Baskets Bonn,5,2,3,73.6,103.1,112.9,-9.8,47.1,21.7,31.2,49.8,23,66.5,43.7,46.8,15.4,24.4,0.242
