Team,GP,W,L,Pace,OffRtg,DefRtg,NetRtg,ND/FG,MD/FG,3P/FG,eFG%,ORB%,DRB%,TRB%,AST%,TOV%,FT/G,FTr
ALBA BERLIN,49,32,17,70.5,115.4,105.8,9.6,49.8,18.8,31.4,55.0,26.9,72.0,49.9,60.3,16.9,22.8,0.299
Artland Dragons,44,28,16,71.1,111.7,103.7,8.1,51.3,14.2,34.5,53.4,31.3,74.3,54.1,52.4,19.9,23.0,0.300
Gloria GIANTS Duesseldorf,34,7,27,70.6,93.0,109.6,-16.7,43.9,21.0,35.1,45.6,26.1,70.8,47.1,47.4,20.1,18.6,0.212
Brose Baskets,47,41,6,70.9,114.8,95.1,19.7,45.6,14.8,39.6,54.8,25.4,71.8,49.9,60.0,16.3,22.8,0.289
EWE Baskets Oldenburg,39,22,17,72.1,106.9,108.4,-1.5,44.9,17.5,37.6,52.0,27.9,69.6,48.4,53.3,19.0,20.2,0.244
Eisbaeren Bremerhaven,37,18,19,72.2,107.9,110.6,-2.6,49.8,21.5,28.7,50.8,28.4,69.8,48.8,59.0,16.5,21.3,0.240
Mitteldeutscher BC,34,8,26,68.3,99.3,110.9,-11.6,49.9,12.8,37.4,47.8,31.1,70.5,49.8,46.4,20.7,20.4,0.244
DEUTSCHE BANK SKYLINERS,42,31,11,68.6,111.6,101.4,10.2,47.1,14.2,38.6,50.8,34.2,70.9,52.6,51.9,18.5,22.5,0.284
LTi GIESSEN 46ers,34,9,25,69.8,99.4,111.5,-12.1,50.2,23.5,26.3,49.2,28.0,72.7,49.9,48.9,21.1,17.9,0.219
BG Goettingen,37,19,18,69.7,104.2,101.9,2.3,47.4,16.2,36.4,48.2,32.3,69.9,50.3,43.3,17.3,20.9,0.216
EnBW Ludwigsburg,34,18,16,71.5,110.2,113.1,-2.8,49.6,19.4,31.0,52.6,26.2,69.6,49.2,51.7,18.5,24.0,0.327
NY Phantoms Braunschweig,39,22,17,70.1,110.6,108.8,1.9,48.4,15.2,36.4,54.5,28.6,70.4,49.8,52.5,19.0,21.0,0.259
Phoenix Hagen,34,15,19,77.1,110.3,112.4,-2.1,48.2,14.2,37.6,52.2,27.9,66.1,46.4,49.2,17.1,23.8,0.267
ratiopharm Ulm,34,12,22,73.5,108.5,110.6,-2.0,49.1,21.8,29.1,50.3,34.3,71.4,53.1,45.8,20.3,23.7,0.284
TBB Trier,34,17,17,66.3,104.4,104.5,-0.1,51.2,16.8,32.0,50.0,30.2,68.5,49.5,48.1,19.0,19.5,0.236
Telekom Baskets Bonn,34,14,20,71.1,105.3,108.4,-3.1,51.4,17.0,31.6,49.5,31.4,72.0,51.6,43.8,20.6,23.6,0.297
WALTER Tigers Tuebingen,34,6,28,34.5,105.2,109.7,-4.5,54.7,14.6,30.6,49.8,28.0,69.4,47.7,55.6,17.2,11.1,0.250
BBC Bayreuth,34,9,25,70.3,105.0,114.0,-9.1,46.9,21.3,31.8,51.3,28.0,69.9,48.7,48.6,19.0,19.4,0.232
