Team,GP,W,L,Pace,OffRtg,DefRtg,NetRtg,ND/FG,MD/FG,3P/FG,eFG%,ORB%,DRB%,TRB%,AST%,TOV%,FT/G,FTr
ALBA BERLIN,26,19,7,72.4,113.0,98.1,14.9,47.8,20.8,31.4,52.9,33.4,72.2,53.3,54.1,19.1,24.3,0.298
Artland Dragons,27,17,10,71.5,108.0,105.9,2.1,45.1,16.5,38.4,53.1,30.1,68.9,49.9,63.7,19.3,16.2,0.190
medi bayreuth,27,7,20,70.8,104.4,112.7,-8.3,46.7,19.1,34.2,51.0,29.8,70.7,50.6,57.6,20.6,17.3,0.211
Brose Baskets,25,21,4,70.6,113.9,100.4,13.5,50.1,14.8,35.1,54.7,30.8,70.9,51.7,57.9,17.9,22.2,0.268
EWE Baskets Oldenburg,27,19,8,71.7,112.1,106.7,5.5,46.9,16.0,37.0,53.4,28.3,68.7,48.9,55.0,18.1,24.1,0.304
Eisbaeren Bremerhaven,27,11,16,71.7,107.7,110.4,-2.7,53.7,19.2,27.2,51.6,38.7,68.9,54.3,48.3,23.7,19.6,0.239
FC Bayern Muenchen,27,23,4,72.4,120.7,103.8,16.8,46.9,19.6,33.6,54.6,32.7,73.9,54.0,60.5,16.3,25.9,0.339
FRAPORT SKYLINERS,24,11,13,68.8,102.9,107.6,-4.7,48.1,13.9,38.0,51.7,27.8,70.4,50.0,58.9,23.5,19.8,0.283
RASTA Vechta,27,5,22,73.1,104.1,112.5,-8.5,53.1,13.9,33.0,47.4,36.6,67.7,51.3,44.7,19.4,21.9,0.229
Mitteldeutscher BC,26,14,12,72.1,106.7,110.1,-3.4,42.4,15.9,41.7,50.3,27.9,67.8,47.3,49.7,18.2,20.0,0.242
MHP RIESEN Ludwigsburg,26,13,13,72.4,109.0,108.9,0.1,53.7,13.4,32.9,50.4,32.2,72.2,52.0,42.5,18.7,24.9,0.305
NY Phantoms Braunschweig,27,10,17,71.5,106.1,110.9,-4.8,44.4,13.4,42.2,50.9,26.1,68.0,47.1,56.6,18.6,18.9,0.248
Phoenix Hagen,27,12,15,77.1,105.2,110.3,-5.2,49.6,20.9,29.4,47.2,30.3,66.0,47.1,41.2,18.1,22.5,0.273
ratiopharm ulm,26,16,10,72.7,113.6,106.8,6.8,48.9,13.5,37.6,52.7,32.7,70.3,51.9,53.3,17.9,24.3,0.288
TBB Trier,27,10,17,70.0,107.5,111.3,-3.8,45.4,14.6,40.0,51.3,28.3,66.4,47.2,45.7,19.3,19.7,0.239
Telekom Baskets Bonn,27,17,10,70.9,111.0,108.0,3.0,47.4,14.2,38.5,52.5,28.0,68.5,47.4,58.3,16.5,22.0,0.255
WALTER Tigers Tuebingen,26,5,21,72.0,98.2,113.1,-15.0,47.9,13.2,38.8,47.1,26.4,71.5,48.0,61.2,19.3,19.6,0.233
s.Oliver Baskets,27,8,19,71.5,102.2,108.0,-5.7,42.9,14.1,43.0,51.0,24.3,72.4,48.3,50.4,19.8,18.0,0.215
