Team,GP,W,L,Pace,OffRtg,DefRtg,NetRtg,Opp ND/FG,Opp MD/FG,Opp 3P/FG,Opp eFG%,Opp ORB%,Opp DRB%,Opp TRB%,Opp AST%,Opp TOV%,Opp FT/G,Opp FTr
ALBA Berlin,34,25,9,66.3,114.6,100.7,13.9,49.2,17.0,33.7,49.1,26.4,74.1,50.1,48.0,19.6,18.1,0.199
Artland Dragons,34,19,15,69.9,113.3,104.6,8.7,46.4,15.9,37.7,52.0,23.6,72.3,47.7,52.2,19.4,21.5,0.214
GIANTS Duesseldorf,34,8,25,67.2,100.2,106.7,-6.4,48.1,15.4,36.5,52.1,30.3,73.5,53.0,53.1,20.8,22.5,0.222
Brose Baskets,34,22,12,69.5,112.1,103.0,9.1,47.2,16.8,36.0,50.1,28.0,76.6,51.4,49.1,20.4,20.2,0.204
EWE Baskets Oldenburg,34,25,9,68.3,109.3,97.7,11.6,52.3,19.3,28.3,46.3,29.5,68.9,48.8,45.8,20.0,20.8,0.215
Eisbaeren Bremerhaven,34,21,13,70.7,114.7,109.5,5.2,49.5,11.1,39.3,52.4,28.3,67.5,47.4,53.8,17.6,22.1,0.200
Mitteldeutscher BC,34,18,16,71.1,106.4,106.4,0.1,43.9,17.6,38.5,52.8,29.0,67.8,48.9,49.2,22.5,25.5,0.244
DEUTSCHE BANK SKYLINERS,34,21,13,68.5,108.8,104.8,4.0,47.6,12.8,39.6,50.8,30.4,68.0,48.4,52.5,19.7,19.2,0.182
LTi GIESSEN 46ers,34,10,24,69.4,103.7,111.8,-8.1,47.2,13.2,39.6,53.9,28.6,70.1,49.4,52.4,17.1,20.9,0.185
BG Goettingen,34,24,10,70.6,115.2,103.8,11.4,43.8,14.1,42.1,53.0,29.2,65.3,48.2,56.5,23.4,21.9,0.209
EnBW Ludwigsburg,34,17,17,69.5,105.1,106.5,-1.3,49.3,14.0,36.7,51.1,30.5,71.0,50.6,49.6,19.8,20.9,0.202
NY Phantoms Braunschweig,34,18,15,68.4,111.0,109.0,2.0,51.1,13.4,35.5,53.4,24.7,72.8,47.9,48.7,18.2,21.1,0.201
Phoenix Hagen,34,9,25,72.3,100.5,113.9,-13.3,57.0,13.1,29.9,54.6,29.2,69.9,50.4,46.1,16.3,22.8,0.194
ratiopharm Ulm,34,13,21,72.5,106.8,113.4,-6.6,53.9,12.4,33.7,54.3,31.8,69.3,50.9,46.0,17.8,22.4,0.188
TBB Trier,34,10,24,67.7,106.3,116.5,-10.2,52.5,12.3,35.2,56.1,32.0,76.6,53.9,45.1,18.2,21.0,0.186
Telekom Baskets Bonn,34,24,10,69.5,108.0,104.3,3.6,48.0,18.3,33.8,48.8,27.0,68.4,47.0,46.1,17.5,23.1,0.220
WALTER Tigers Tuebingen,34,16,18,72.3,106.9,109.3,-2.4,47.0,12.8,40.2,54.7,31.5,72.7,52.3,53.9,21.2,19.4,0.171
webmoebel Baskets,34,5,29,71.5,96.6,115.8,-19.1,50.8,12.2,37.0,55.3,31.9,74.2,53.7,52.3,18.7,23.6,0.203
