Team,GP,W,L,Pace,OffRtg,DefRtg,NetRtg,Opp ND/FG,Opp MD/FG,Opp 3P/FG,Opp eFG%,Opp ORB%,Opp DRB%,Opp TRB%,Opp AST%,Opp TOV%,Opp FT/G,Opp FTr
ALBA BERLIN,34,24,10,70.2,116.5,105.0,11.5,47.6,20.3,32.1,51.5,28.2,74.8,50.9,54.3,20.5,22.2,0.215
Artland Dragons,34,23,11,71.2,113.1,102.7,10.4,50.1,19.5,30.4,48.5,26.3,68.4,45.9,49.0,17.1,19.6,0.193
Gloria GIANTS Duesseldorf,34,7,27,70.6,93.0,109.6,-16.7,46.6,17.4,36.0,53.8,29.2,73.9,52.9,56.8,19.5,18.7,0.171
Brose Baskets,34,32,2,70.6,116.0,92.2,23.9,48.8,19.0,32.2,44.4,28.6,74.4,50.0,47.1,21.2,16.6,0.183
EWE Baskets Oldenburg,34,20,14,71.7,107.1,107.0,0.2,49.2,20.8,30.0,50.7,30.4,71.9,51.3,45.3,18.6,23.3,0.215
Eisbaeren Bremerhaven,34,18,16,72.1,108.6,109.7,-1.1,48.6,13.9,37.5,52.8,29.9,71.2,50.8,57.4,19.5,21.6,0.203
Mitteldeutscher BC,34,8,26,68.3,99.3,110.9,-11.6,43.9,20.0,36.1,52.7,29.5,68.9,50.2,50.7,19.0,23.4,0.221
DEUTSCHE BANK SKYLINERS,34,26,8,68.8,111.9,100.7,11.2,50.7,16.4,32.9,48.0,29.1,65.8,47.3,47.0,20.3,22.1,0.222
LTi GIESSEN 46ers,34,9,25,69.8,99.4,111.5,-12.1,49.5,16.1,34.3,54.9,27.3,72.0,50.1,51.2,18.0,20.2,0.184
BG Goettingen,34,19,15,70.1,105.2,100.5,4.6,43.7,16.2,40.2,48.6,29.5,67.4,49.2,61.9,21.8,24.6,0.242
EnBW Ludwigsburg,34,18,16,71.5,110.2,113.1,-2.8,50.0,16.6,33.4,52.7,30.4,73.8,50.8,48.4,16.0,19.4,0.172
NY Phantoms Braunschweig,34,20,14,70.1,111.1,107.5,3.5,54.3,15.9,29.9,51.6,28.6,71.1,49.4,46.0,18.3,20.0,0.192
Phoenix Hagen,34,15,19,77.1,110.3,112.4,-2.1,55.6,14.3,30.1,54.0,33.9,72.1,53.6,47.2,19.8,22.9,0.192
ratiopharm Ulm,34,12,22,73.5,108.5,110.6,-2.0,48.3,19.1,32.6,51.0,28.6,65.7,46.9,50.0,15.1,21.1,0.189
TBB Trier,34,17,17,66.3,104.4,104.5,-0.1,46.5,18.6,35.0,49.0,31.5,69.8,50.5,48.9,19.3,19.4,0.199
Telekom Baskets Bonn,34,14,20,71.1,105.3,108.4,-3.1,46.1,18.0,35.9,51.5,28.0,68.6,48.4,55.9,18.1,24.4,0.231
WALTER Tigers Tuebingen,34,6,10,34.5,105.2,109.7,-4.5,48.4,15.4,36.2,51.3,30.6,72.0,52.3,57.5,19.0,12.1,0.240
BBC Bayreuth,34,9,25,70.3,105.0,114.0,-9.1,50.3,16.2,33.5,53.4,30.1,72.0,51.3,52.7,16.9,23.9,0.214
