Team,GP,W,L,Pace,OffRtg,DefRtg,NetRtg,Opp ND/FG,Opp MD/FG,Opp 3P/FG,Opp eFG%,Opp ORB%,Opp DRB%,Opp TRB%,Opp AST%,Opp TOV%,Opp FT/G,Opp FTr
ALBA Berlin,4,1,3,64.9,104.2,110.9,-6.7,39.8,20.4,39.8,53.8,29.2,76.6,53.6,52.0,19.4,19.5,0.199
Brose Baskets,11,9,2,66.4,119.6,100.3,19.3,48.8,16.4,37.9,59.2,30.4,74.8,51.6,40.5,17.5,22.5,0.267
EWE Baskets Oldenburg,4,1,3,66.0,109.9,109.2,0.8,47.5,21.5,30.9,53.1,34.4,69.8,51.0,42.9,19.0,20.0,0.177
Eisbaeren Bremerhaven,10,5,5,69.4,106.7,107.1,-0.4,49.9,8.7,41.4,51.0,33.6,67.8,50.6,52.6,20.6,20.2,0.191
DEUTSCHE BANK SKYLINERS,14,8,5,61.0,103.4,104.2,-0.8,46.1,13.5,40.4,49.2,26.4,71.5,48.7,54.5,18.4,20.5,0.226
BG Goettingen,5,2,3,72.8,111.9,113.0,-1.1,41.9,12.6,45.6,52.6,36.1,63.0,50.1,61.7,22.3,35.0,0.309
NY Phantoms Braunschweig,7,3,4,67.7,109.7,116.4,-6.8,48.3,10.8,40.9,55.0,27.9,70.0,50.0,49.2,16.5,23.6,0.225
Telekom Baskets Bonn,3,0,3,68.9,111.8,119.5,-7.7,52.5,10.0,37.5,53.8,27.7,65.0,46.6,52.8,13.1,37.3,0.304
