Team,GP,W,L,Pace,OffRtg,DefRtg,NetRtg,ND/FG,MD/FG,3P/FG,eFG%,ORB%,DRB%,TRB%,AST%,TOV%,FT/G,FTr
ALBA Berlin,38,26,12,66.2,113.5,101.8,11.7,45.0,14.8,40.2,54.3,25.7,73.3,49.5,60.7,16.5,22.1,0.285
Artland Dragons,34,19,15,69.9,113.3,104.6,8.7,52.2,13.1,34.7,56.1,27.7,76.4,52.3,53.6,18.5,21.7,0.274
GIANTS Duesseldorf,34,8,26,67.2,100.2,106.7,-6.4,43.8,16.3,39.9,47.6,26.5,69.7,47.0,46.0,18.8,17.7,0.221
Brose Baskets,45,31,14,68.8,113.9,102.4,11.5,48.9,9.9,41.3,55.6,23.9,71.4,48.6,51.0,17.4,23.8,0.313
EWE Baskets Oldenburg,38,26,12,68.0,109.3,98.8,10.5,35.9,17.2,46.9,52.3,31.0,70.1,51.0,50.4,20.0,20.7,0.263
Eisbaeren Bremerhaven,44,26,18,70.4,112.9,109.0,3.9,50.1,13.5,36.4,54.0,32.4,70.5,51.9,56.6,19.4,23.6,0.289
Mitteldeutscher BC,34,18,16,71.1,106.4,106.4,0.1,52.1,11.2,36.6,52.2,32.2,71.0,51.1,53.5,21.5,23.1,0.277
DEUTSCHE BANK SKYLINERS,48,29,19,66.3,107.3,104.6,2.7,46.5,16.1,37.3,52.4,31.0,70.7,51.5,56.6,20.8,20.3,0.264
LTi GIESSEN 46ers,34,10,24,69.4,103.7,111.8,-8.1,49.7,20.4,30.0,50.3,29.9,71.4,50.6,38.3,19.4,19.9,0.227
BG Goettingen,39,26,13,70.9,114.7,105.0,9.7,49.5,12.7,37.8,52.0,35.0,69.9,51.5,39.5,17.0,21.2,0.245
EnBW Ludwigsburg,34,17,17,69.5,105.1,106.5,-1.3,50.2,12.4,37.4,52.1,29.0,69.5,49.4,45.5,20.4,21.3,0.251
NY Phantoms Braunschweig,41,21,20,68.2,110.8,110.3,0.5,50.0,13.7,36.3,55.2,27.7,74.7,51.8,56.6,19.6,21.3,0.289
Phoenix Hagen,34,9,25,72.3,100.5,113.9,-13.3,53.2,15.5,31.4,48.3,30.1,70.8,49.6,48.3,20.9,22.3,0.258
ratiopharm Ulm,34,13,21,72.5,106.8,113.4,-6.6,52.5,16.0,31.4,50.9,30.7,68.2,49.1,45.4,18.8,22.1,0.248
TBB Trier,34,10,24,67.7,106.3,116.5,-10.2,49.5,12.4,38.1,54.2,23.4,68.0,46.1,47.4,19.2,18.6,0.238
Telekom Baskets Bonn,37,24,13,69.5,108.3,105.6,2.7,52.7,15.8,31.5,50.3,31.9,72.9,53.0,47.8,18.7,23.4,0.300
WALTER Tigers Tuebingen,34,16,18,72.3,106.9,109.3,-2.4,56.3,11.6,32.1,52.8,27.3,68.5,47.7,57.2,18.7,24.6,0.277
webmoebel Baskets,34,5,29,71.5,96.6,115.8,-19.1,46.5,17.2,36.3,47.8,25.8,68.1,46.3,42.6,22.0,22.0,0.285
