Team,GP,W,L,Pace,OffRtg,DefRtg,NetRtg,Opp ND/FG,Opp MD/FG,Opp 3P/FG,Opp eFG%,Opp ORB%,Opp DRB%,Opp TRB%,Opp AST%,Opp TOV%,Opp FT/G,Opp FTr
ALBA BERLIN,15,8,7,71.0,112.9,107.5,5.4,45.3,16.5,38.2,52.8,27.5,69.4,48.2,53.5,19.2,25.1,0.229
Artland Dragons,10,5,5,71.0,107.1,107.1,0.0,48.5,15.3,36.2,51.3,23.6,69.6,45.9,52.5,15.6,18.5,0.173
Brose Baskets,13,9,4,71.5,111.7,102.7,9.0,57.7,14.1,28.2,48.2,26.8,75.3,50.3,51.2,17.8,19.2,0.197
EWE Baskets Oldenburg,5,2,3,74.5,105.2,117.8,-12.6,45.0,29.5,25.5,54.8,31.1,74.0,53.3,54.6,18.8,27.4,0.246
Eisbaeren Bremerhaven,3,0,3,73.5,100.7,120.3,-19.5,48.7,7.9,43.5,56.0,33.3,76.0,55.3,62.9,16.8,24.7,0.192
DEUTSCHE BANK SKYLINERS,8,5,3,67.7,110.3,104.4,5.9,45.5,21.7,32.7,49.5,29.3,65.8,48.2,49.2,19.0,24.5,0.235
BG Goettingen,3,0,3,66.2,92.6,118.3,-25.7,41.3,9.6,49.1,55.1,37.5,70.8,54.8,67.1,21.6,23.3,0.217
NY Phantoms Braunschweig,5,2,3,70.2,107.7,117.1,-9.4,47.8,16.8,35.4,52.7,36.8,73.0,55.7,58.4,19.7,31.6,0.297
