Team,GP,W,L,Pace,OffRtg,DefRtg,NetRtg,Opp ND/FG,Opp MD/FG,Opp 3P/FG,Opp eFG%,Opp ORB%,Opp DRB%,Opp TRB%,Opp AST%,Opp TOV%,Opp FT/G,Opp FTr
ALBA Berlin,38,26,12,66.2,113.5,101.8,11.7,48.2,17.4,34.4,49.6,26.7,74.3,50.5,48.4,19.6,18.3,0.199
Artland Dragons,34,19,15,69.9,113.3,104.6,8.7,46.4,15.9,37.7,52.0,23.6,72.3,47.7,52.2,19.4,21.5,0.214
GIANTS Duesseldorf,34,8,26,67.2,100.2,106.7,-6.4,48.1,15.4,36.5,52.1,30.3,73.5,53.0,53.1,20.8,22.5,0.222
Brose Baskets,45,31,14,68.8,113.9,102.4,11.5,47.6,16.7,36.4,52.2,28.6,76.1,51.4,46.9,19.7,20.7,0.219
EWE Baskets Oldenburg,38,26,12,68.0,109.3,98.8,10.5,51.8,19.6,28.6,47.0,29.9,69.0,49.0,45.5,19.9,20.7,0.211
Eisbaeren Bremerhaven,44,26,18,70.4,112.9,109.0,3.9,49.6,10.6,39.8,52.1,29.5,67.6,48.1,53.5,18.3,21.6,0.198
Mitteldeutscher BC,34,18,16,71.1,106.4,106.4,0.1,43.9,17.6,38.5,52.8,29.0,67.8,48.9,49.2,22.5,25.5,0.244
DEUTSCHE BANK SKYLINERS,48,29,19,66.3,107.3,104.6,2.7,47.2,13.0,39.9,50.4,29.3,69.0,48.5,53.0,19.3,19.6,0.194
LTi GIESSEN 46ers,34,10,24,69.4,103.7,111.8,-8.1,47.2,13.2,39.6,53.9,28.6,70.1,49.4,52.4,17.1,20.9,0.185
BG Goettingen,39,26,13,70.9,114.7,105.0,9.7,43.5,13.9,42.5,52.9,30.1,65.0,48.5,57.2,23.2,23.5,0.223
EnBW Ludwigsburg,34,17,17,69.5,105.1,106.5,-1.3,49.3,14.0,36.7,51.1,30.5,71.0,50.6,49.6,19.8,20.9,0.202
NY Phantoms Braunschweig,41,21,20,68.2,110.8,110.3,0.5,50.6,13.0,36.4,53.6,25.3,72.3,48.2,48.8,17.9,21.5,0.205
Phoenix Hagen,34,9,25,72.3,100.5,113.9,-13.3,57.0,13.1,29.9,54.6,29.2,69.9,50.4,46.1,16.3,22.8,0.194
ratiopharm Ulm,34,13,21,72.5,106.8,113.4,-6.6,53.9,12.4,33.7,54.3,31.8,69.3,50.9,46.0,17.8,22.4,0.188
TBB Trier,34,10,24,67.7,106.3,116.5,-10.2,52.5,12.3,35.2,56.1,32.0,76.6,53.9,45.1,18.2,21.0,0.186
Telekom Baskets Bonn,37,24,13,69.5,108.3,105.6,2.7,48.3,17.7,34.0,49.2,27.1,68.1,47.0,46.6,17.2,24.3,0.227
WALTER Tigers Tuebingen,34,16,18,72.3,106.9,109.3,-2.4,47.0,12.8,40.2,54.7,31.5,72.7,52.3,53.9,21.2,19.4,0.171
webmoebel Baskets,34,5,29,71.5,96.6,115.8,-19.1,50.8,12.2,37.0,55.3,31.9,74.2,53.7,52.3,18.7,23.6,0.203
