Team,GP,W,L,Pace,OffRtg,DefRtg,NetRtg,Opp ND/FG,Opp MD/FG,Opp 3P/FG,Opp eFG%,Opp ORB%,Opp DRB%,Opp TRB%,Opp AST%,Opp TOV%,Opp FT/G,Opp FTr
ALBA BERLIN,3,0,3,72.4,102.7,117.9,-15.2,37.3,20.5,42.2,58.1,20.2,68.2,53.3,64.6,17.5,31.3,0.27
Artland Dragons,3,0,3,70.3,107.6,126.6,-19,38.7,16.1,45.2,56.3,30.7,79.6,44,39.6,11.9,16.7,0.161
Brose Baskets,12,9,3,75.2,113.5,104.8,8.7,49.3,16,34.8,47.6,31.1,71.5,50.3,47.6,17.2,22.2,0.202
EWE Baskets Oldenburg,13,6,7,71.1,107.1,102,5.2,43.3,22.4,34.2,46.6,28.4,70.1,51.6,43.7,17.6,23.4,0.22
FC Bayern Muenchen,8,5,3,73.2,113,111.9,1.2,41.6,16.9,41.6,52.5,29.3,74.9,48.1,67.3,18.8,22.6,0.221
Phoenix Hagen,4,1,3,82.9,101.9,115.8,-13.9,43.7,10.3,46,58.4,25.5,69.2,49.8,72,19.3,26,0.201
ratiopharm ulm,8,5,3,70.4,109.8,106.1,3.7,39.3,26.6,34.1,50.7,20.6,69.2,53.8,48.8,15,19.1,0.196
Telekom Baskets Bonn,5,2,3,73.6,103.1,112.9,-9.8,48.9,20.1,31.1,51.6,33.5,77,43.7,52.5,18.3,29.4,0.251
