Team,GP,Pace,OffRtg,DefRtg,NetRtg,Opp ND%,Opp MD%,Opp 3P%,Opp eFG%,Opp ORB%,Opp DRB%,Opp TRB%,Opp AST%,Opp TOV%,Opp FT/G,Opp FTr
Alba Berlin,34,68.2,114.2,108.3,5.9,54.6,42.3,35.0,53.4,29.1,65.5,52.2,55.3,20.8,18.4,0.185
Artland Dragons,34,69.4,111.3,110.4,0.9,57.3,37.5,35.6,51.9,29.8,69.3,50.6,51.4,17.5,19.3,0.186
BBC Bayreuth,34,69.8,106.7,111.4,-4.7,54.7,37.3,36.6,51.7,26.5,65.0,54.0,49.2,17.2,24.9,0.244
Brose Baskets,34,70.7,119.9,104.3,15.6,53.2,39.1,28.8,49.7,28.8,71.5,51.2,49.6,18.6,16.8,0.170
EWE Baskets Oldenburg,34,70.4,111.6,101.6,9.9,54.7,34.5,31.3,47.4,29.2,71.2,50.6,44.2,19.7,22.4,0.232
Eisbaeren Bremerhaven,34,70.4,111.9,113.3,-1.5,60.3,42.9,34.5,55.1,30.6,68.3,49.9,51.2,18.7,19.6,0.176
FC Bayern Muenchen,34,73.0,113.3,102.6,10.8,51.9,38.8,34.0,49.4,27.9,68.2,52.3,54.7,19.5,20.0,0.198
Fraport Skyliners,34,68.8,104.1,103.8,0.3,55.8,33.6,33.7,50.5,30.8,72.8,47.6,48.8,22.6,21.8,0.234
LTi Giessen 46ers,34,70.9,95.9,124.4,-28.5,61.5,43.6,36.6,57.8,33.3,78.1,44.8,54.4,14.7,18.2,0.155
Mitteldeutscher BC,34,69.6,106.1,111.2,-5.1,54.4,41.2,31.5,50.9,32.4,72.0,47.5,44.6,17.9,22.3,0.215
Neckar Riesen Ludwigsburg,34,70.5,105.1,109.9,-4.8,55.2,42.7,39.0,52.9,31.2,72.7,47.6,51.0,20.5,22.1,0.211
New Yorker Phantoms Braunschweig,34,68.3,109.4,112.3,-2.9,59.1,37.5,34.9,53.2,30.4,71.2,48.9,52.3,17.4,19.4,0.182
Phoenix Hagen,34,79.5,108.5,112.3,-3.7,58.1,41.2,37.4,55.1,31.1,70.2,48.1,53.7,21.0,26.0,0.217
Ratiopharm Ulm,34,73.4,114.0,104.4,9.6,49.9,39.5,34.0,48.5,27.0,70.2,52.7,51.9,16.0,18.5,0.172
TBB Trier,34,70.9,105.7,106.3,-0.6,56.1,36.0,33.1,51.7,29.1,70.1,50.2,54.1,21.0,21.9,0.215
Telekom Baskets Bonn,34,71.1,114.1,113.5,0.5,54.0,35.5,41.1,51.9,29.9,70.2,50.0,50.2,15.9,24.7,0.225
Walter Tigers TÅuebingen,34,72.4,107.4,110.3,-2.9,56.2,36.4,39.5,52.7,26.3,72.8,50.9,55.7,15.6,20.1,0.181
s.Oliver Baskets,34,71.8,99.5,98.1,1.4,49.9,35.7,34.6,48.0,28.2,70.5,50.5,51.0,21.7,22.4,0.224
