Team,GP,W,L,Pace,OffRtg,DefRtg,NetRtg,Opp ND/FG,Opp MD/FG,Opp 3P/FG,Opp eFG%,Opp ORB%,Opp DRB%,Opp TRB%,Opp AST%,Opp TOV%,Opp FT/G,Opp FTr
ALBA Berlin,11,9,2,68.1,122.6,106.3,16.2,48.8,20.2,31.0,51.7,30.2,68.0,47.8,43.5,18.9,19.7,0.187
Artland Dragons,4,1,2,56.8,113.1,110.9,2.2,52.4,21.6,25.9,53.5,33.0,77.2,52.2,37.4,18.9,22.0,0.214
Bayer Giants Leverkusen,5,2,1,44.1,102.5,103.4,-0.9,36.1,17.0,46.9,50.5,22.6,77.6,50.2,52.4,17.7,8.8,0.140
Brose Baskets,4,1,2,50.6,95.9,82.1,13.8,34.5,17.6,48.0,42.9,19.4,70.6,44.9,31.5,22.7,16.3,0.235
EWE Baskets Oldenburg,8,3,4,58.5,97.8,107.7,-9.8,57.5,16.8,25.6,51.6,30.6,75.1,53.0,42.3,17.1,21.1,0.210
Eisbaeren Bremerhaven,3,0,3,70.9,101.5,133.0,-31.5,48.9,10.3,40.8,63.3,36.8,73.5,55.8,54.0,16.5,25.0,0.177
DEUTSCHE BANK SKYLINERS,10,2,5,48.3,98.8,103.8,-5.0,45.8,17.9,36.3,50.0,27.3,71.5,49.5,48.8,19.1,16.0,0.220
Telekom Baskets Bonn,13,6,5,58.6,107.3,109.5,-2.2,41.6,18.2,40.2,56.2,28.8,67.2,49.7,56.1,24.2,22.1,0.259
