Team,GP,W,L,Pace,OffRtg,DefRtg,NetRtg,ND/FG,MD/FG,3P/FG,eFG%,ORB%,DRB%,TRB%,AST%,TOV%,FT/G,FTr
ALBA BERLIN,4,1,3,68.1,104.7,111.3,-6.6,46.6,16.6,36.8,46.2,30.7,63.8,47.3,60.0,18.7,26.3,0.354
Artland Dragons,8,3,5,71.7,104.1,116.2,-12.0,46.5,16.6,36.9,49.7,26.3,75.0,50.9,50.5,19.5,23.4,0.310
Brose Baskets,10,9,1,71.5,124.0,104.0,20.0,46.7,14.9,38.4,60.1,27.2,73.1,51.1,53.1,15.8,22.5,0.277
FC Bayern Muenchen,5,0,0,71.7,108.3,109.7,-1.4,51.7,17.6,30.7,50.2,28.4,73.4,49.9,51.0,14.2,19.6,0.198
NY Phantoms Braunschweig,3,0,3,73.5,112.9,127.8,-15.0,43.1,17.9,39.0,53.8,35.8,77.5,56.3,43.5,18.1,18.7,0.200
ratiopharm ulm,9,6,3,75.1,113.3,110.8,2.5,42.4,18.7,38.9,55.5,26.2,71.6,49.8,46.5,16.7,20.6,0.231
Telekom Baskets Bonn,4,1,3,68.6,110.0,119.1,-9.1,53.8,11.5,34.6,51.1,27.3,64.5,45.1,65.4,17.8,19.3,0.269
s.Oliver Baskets,7,0,0,71.8,103.8,105.8,-2.0,50.8,14.2,35.1,48.0,30.5,70.5,49.4,48.7,16.3,17.7,0.176
