Team,GP,W,L,Pace,OffRtg,DefRtg,NetRtg,ND/FG,MD/FG,3P/FG,eFG%,ORB%,DRB%,TRB%,AST%,TOV%,FT/G,FTr
ALBA Berlin,45,35,10,67.0,119.4,108.0,11.4,49.2,17.0,33.8,59.2,30.1,71.2,51.9,50.1,18.4,21.1,0.276
Artland Dragons,38,26,12,68.1,111.0,101.9,9.1,44.3,20.7,35.1,56.7,27.1,70.5,50.0,48.9,20.8,22.3,0.308
Bayer Giants Leverkusen,39,27,12,71.0,110.2,104.8,5.4,45.5,15.7,38.7,52.5,30.3,68.6,50.1,53.5,18.9,23.7,0.292
Brose Baskets,38,24,14,65.7,109.2,97.1,12.1,45.8,14.9,39.3,54.2,30.3,72.3,52.7,54.6,20.4,21.8,0.278
EWE Baskets Oldenburg,42,24,18,68.2,106.3,104.3,1.9,43.0,15.1,41.8,51.6,29.4,67.3,48.8,48.7,20.6,22.0,0.278
Eisbaeren Bremerhaven,37,19,18,72.3,107.5,109.0,-1.4,44.6,18.8,36.6,52.2,30.3,69.7,50.6,47.0,20.5,23.6,0.282
Science City Jena,34,5,29,70.6,98.3,111.8,-13.5,42.1,17.5,40.5,48.8,30.2,71.1,51.3,52.1,23.3,18.7,0.244
DEUTSCHE BANK SKYLINERS,44,23,21,64.7,106.2,104.2,2.0,40.0,20.4,39.5,51.4,28.3,69.8,49.5,51.6,19.2,17.6,0.234
LTi GIESSEN 46ers,34,9,25,70.5,106.0,115.6,-9.6,45.7,17.6,36.6,50.8,26.8,69.1,47.4,45.3,18.4,24.6,0.294
BG 74 Goettingen,34,13,21,74.5,105.3,108.3,-3.0,44.1,21.5,34.3,48.7,32.5,66.6,48.1,34.2,17.2,20.6,0.204
EnBW Ludwigsburg,34,15,19,72.9,110.8,110.6,0.2,43.9,19.5,36.6,52.1,32.1,66.5,48.7,42.8,18.9,23.0,0.272
NY Phantoms Braunschweig,34,17,17,71.3,104.5,105.8,-1.4,47.1,18.2,34.7,51.4,28.3,68.9,48.2,45.2,19.2,19.7,0.229
Koeln 99ers,34,16,18,70.6,109.7,111.4,-1.6,47.0,17.7,35.4,53.2,33.2,69.1,51.0,54.0,20.7,23.5,0.294
ratiopharm Ulm,34,16,18,73.1,112.8,113.1,-0.3,50.1,13.4,36.5,51.1,37.2,69.2,52.7,45.1,17.8,24.0,0.247
TBB Trier,34,7,27,71.9,103.5,113.9,-10.4,43.9,18.6,37.6,51.9,27.6,69.4,47.9,50.1,21.4,22.6,0.283
Telekom Baskets Bonn,47,27,20,66.7,108.5,106.6,2.0,51.9,20.3,27.7,50.9,34.0,69.3,50.5,42.1,19.6,21.4,0.273
WALTER Tigers Tuebingen,34,10,24,68.4,103.0,112.6,-9.6,41.8,20.0,38.2,50.8,33.1,70.8,52.0,45.8,21.4,19.3,0.212
digibu Baskets,34,16,18,73.4,108.3,107.7,0.6,43.2,27.8,29.0,50.8,27.5,70.2,48.0,45.1,17.8,25.1,0.296
