Team,GP,W,L,Pace,OffRtg,DefRtg,NetRtg,ND/FG,MD/FG,3P/FG,eFG%,ORB%,DRB%,TRB%,AST%,TOV%,FT/G,FTr
ALBA BERLIN,34,24,10,70.2,116.5,105.0,11.5,49.6,16.7,33.7,56.0,25.2,71.8,49.1,63.3,16.1,21.9,0.290
Artland Dragons,34,23,11,71.2,113.1,102.7,10.4,51.4,14.3,34.2,54.4,31.6,73.7,54.1,52.3,19.8,22.4,0.288
Gloria GIANTS Duesseldorf,34,7,27,70.6,93.0,109.6,-16.7,43.9,21.0,35.1,45.6,26.1,70.8,47.1,47.4,20.1,18.6,0.212
Brose Baskets,34,32,2,70.6,116.0,92.2,23.9,44.8,15.4,39.9,55.0,25.6,71.4,50.0,60.3,16.2,22.7,0.294
EWE Baskets Oldenburg,34,20,14,71.7,107.1,107.0,0.2,45.0,17.4,37.6,51.7,28.1,69.6,48.7,54.0,18.8,19.5,0.236
Eisbaeren Bremerhaven,34,18,16,72.1,108.6,109.7,-1.1,49.1,21.9,29.0,51.2,28.8,70.1,49.2,58.9,16.8,21.6,0.245
Mitteldeutscher BC,34,8,26,68.3,99.3,110.9,-11.6,49.9,12.8,37.4,47.8,31.1,70.5,49.8,46.4,20.7,20.4,0.244
DEUTSCHE BANK SKYLINERS,34,26,8,68.8,111.9,100.7,11.2,48.1,14.4,37.5,50.9,34.2,70.9,52.7,50.5,18.3,22.4,0.283
LTi GIESSEN 46ers,34,9,25,69.8,99.4,111.5,-12.1,50.2,23.5,26.3,49.2,28.0,72.7,49.9,48.9,21.1,17.9,0.219
BG Goettingen,34,19,15,70.1,105.2,100.5,4.6,47.1,16.4,36.5,48.6,32.6,70.5,50.8,43.9,17.3,20.9,0.214
EnBW Ludwigsburg,34,18,16,71.5,110.2,113.1,-2.8,49.6,19.4,31.0,52.6,26.2,69.6,49.2,51.7,18.5,24.0,0.327
NY Phantoms Braunschweig,34,20,14,70.1,111.1,107.5,3.5,48.1,15.0,36.8,54.9,28.9,71.4,50.6,53.1,19.2,21.2,0.265
Phoenix Hagen,34,15,19,77.1,110.3,112.4,-2.1,48.2,14.2,37.6,52.2,27.9,66.1,46.4,49.2,17.1,23.8,0.267
ratiopharm Ulm,34,12,22,73.5,108.5,110.6,-2.0,49.1,21.8,29.1,50.3,34.3,71.4,53.1,45.8,20.3,23.7,0.284
TBB Trier,34,17,17,66.3,104.4,104.5,-0.1,51.2,16.8,32.0,50.0,30.2,68.5,49.5,48.1,19.0,19.5,0.236
Telekom Baskets Bonn,34,14,20,71.1,105.3,108.4,-3.1,51.4,17.0,31.6,49.5,31.4,72.0,51.6,43.8,20.6,23.6,0.297
WALTER Tigers Tuebingen,34,6,10,34.5,105.2,109.7,-4.5,54.7,14.6,30.6,49.8,28.0,69.4,47.7,55.6,17.2,11.1,0.250
BBC Bayreuth,34,9,25,70.3,105.0,114.0,-9.1,46.9,21.3,31.8,51.3,28.0,69.9,48.7,48.6,19.0,19.4,0.232
