Team,GP,Wins,Losses,Pace,OffRtg,DefRtg,NetRtg,Opp ND/FG,Opp MD/FG,Opp 3P/FG,Opp eFG%,Opp ORB%,Opp DRB%,Opp TRB%,Opp AST%,Opp TOV%,Opp FT/G,Opp FTr
ALBA Berlin,21,19,2,71.1,123.1,101.7,21.4,42.3,19.4,38.3,50.2,24.9,60.7,42.2,60.7,21.4,20.5,0.214
Artland Dragons,21,10,11,70.4,112.9,114.2,-1.3,47.3,15.9,36.7,53.2,32.1,72.6,51.8,57.9,17.8,21.5,0.199
BL Braunschweig,21,10,11,70.9,107.2,111.2,-4.0,46.9,15.9,37.2,51.6,29.5,70.9,49.6,51.8,17.0,19.5,0.192
BG Goettingen,21,10,11,73.5,108.8,114.6,-5.8,49.2,14.0,36.9,56.3,31.5,69.1,51.0,61.6,20.3,22.4,0.198
Brose Baskets,21,18,3,68.4,120.7,102.3,18.4,52.2,15.4,32.4,47.9,25.6,72.6,47.1,55.6,18.4,21.5,0.231
Crailsheim Merlins,20,3,17,72.9,103.4,117.9,-14.5,49.3,13.6,37.1,56.7,32.2,69.6,51.7,55.0,17.8,17.6,0.154
Eisbaeren Bremerhaven,21,5,16,72.1,106.3,115.1,-8.9,46.2,14.7,39.1,55.2,28.4,66.6,48.8,62.1,18.5,25.8,0.236
EWE Baskets Oldenburg,20,11,9,71.9,115.5,113.1,2.4,48.9,17.7,33.4,51.5,31.9,67.5,50.0,56.9,17.4,23.4,0.224
FC Bayern Muenchen,21,17,4,74.3,124.0,103.9,20.1,44.6,18.7,36.7,49.9,25.6,67.6,46.2,62.5,17.5,19.0,0.185
Fraport Skyliners,21,10,11,68.9,108.7,108.0,0.7,44.1,17.9,37.9,52.3,28.2,71.1,49.5,64.2,19.8,21.0,0.214
Medi Bayreuth,21,8,13,69.1,109.0,113.6,-4.5,48.5,14.1,37.4,54.5,31.9,70.9,52.3,50.6,19.4,22.8,0.218
MHP Riesen Ludwigsburg,21,10,11,72.7,108.4,106.5,2.0,42.0,15.1,43.0,52.2,25.7,68.2,47.8,66.5,20.5,24.6,0.237
Mitteldeutscher BC,20,8,12,70.3,106.4,110.8,-4.4,53.9,17.4,28.7,51.4,31.1,73.4,53.0,50.5,17.6,21.0,0.196
Phoenix Hagen,20,8,12,77.7,107.2,114.4,-7.2,54.4,13.6,32.0,54.1,35.4,74.0,54.6,61.6,19.1,21.6,0.182
Ratiopharm Ulm,21,13,8,72.7,114.2,115.0,-0.8,51.0,14.3,34.7,54.4,29.6,71.1,50.0,57.5,16.9,17.4,0.158
TBB Trier,21,7,14,69.6,103.2,112.6,-9.4,47.6,13.5,38.9,51.0,34.0,76.4,54.1,61.3,17.7,20.8,0.198
Telekom Baskets Bonn,21,14,7,72.2,117.1,109.9,7.1,52.5,14.7,32.8,53.6,30.5,72.2,51.0,56.3,19.6,19.8,0.182
Walter Tigers Tuebingen,21,6,15,73.9,106.1,117.9,-11.8,44.6,18.7,36.7,55.6,28.9,68.9,49.0,57.9,15.7,23.8,0.197
