Team,GP,Wins,Losses,Pace,OffRtg,DefRtg,NetRtg,ND/FG,MD/FG,3P/FG,eFG%,ORB%,DRB%,TRB%,AST%,TOV%,FT/G,FTr
ALBA BERLIN,34,27,7,71.1,115.1,98.2,16.9,46.6,20.8,32.6,53.4,34.4,72.2,53.5,53.8,18.6,23.4,0.287
Artland Dragons,34,20,14,71.0,107.9,108.1,-0.2,44.3,16.9,38.7,53.3,28.9,69.3,49.3,62.0,18.7,16.4,0.191
medi bayreuth,34,11,23,70.9,105.2,110.7,-5.5,48.1,19.0,33.0,51.5,30.3,71.3,51.4,57.5,20.8,17.6,0.216
Brose Baskets,34,28,6,70.5,113.5,100.2,13.4,48.4,15.3,36.3,54.8,29.8,70.7,51.4,61.4,17.8,22.0,0.266
EWE Baskets Oldenburg,34,25,9,72.3,112.5,105.5,7.0,47.5,15.9,36.6,52.8,28.9,70.0,49.7,56.5,17.7,24.6,0.306
Eisbaeren Bremerhaven,34,12,22,71.8,106.4,111.3,-4.8,51.9,19.2,28.9,50.8,36.8,68.2,52.8,50.6,23.0,19.9,0.242
FC Bayern Muenchen,34,29,5,72.1,119.5,102.1,17.4,46.5,19.6,33.9,53.4,31.8,74.1,53.8,59.3,15.7,25.4,0.333
FRAPORT SKYLINERS,34,14,20,68.3,102.4,106.6,-4.2,46.9,13.6,39.5,51.7,28.1,71.3,50.4,58.3,23.7,18.9,0.269
RASTA Vechta,34,6,28,73.3,104.1,113.6,-9.6,53.0,13.4,33.5,47.8,35.7,69.1,51.7,46.4,19.7,21.6,0.235
Mitteldeutscher BC,34,16,18,71.6,107.1,112.0,-4.8,41.7,15.8,42.5,50.1,28.1,68.3,47.4,50.8,17.6,20.1,0.240
MHP RIESEN Ludwigsburg,34,18,16,72.0,109.7,108.2,1.5,53.7,13.0,33.2,50.6,32.4,72.1,52.0,44.3,18.1,23.9,0.290
NY Phantoms Braunschweig,34,11,23,71.1,106.7,112.2,-5.4,45.4,13.3,41.3,51.7,24.9,68.3,46.9,55.9,18.4,18.7,0.249
Phoenix Hagen,34,15,19,77.2,104.3,110.1,-5.8,48.6,21.6,29.7,47.4,28.1,67.3,46.8,42.7,17.7,22.6,0.275
ratiopharm ulm,34,20,14,72.7,112.2,107.7,4.5,48.4,13.7,38.0,52.0,31.7,71.3,51.5,54.9,17.7,22.6,0.265
TBB Trier,34,12,22,70.3,104.8,110.3,-5.5,45.9,15.0,39.1,50.5,27.1,67.6,47.1,44.6,19.9,20.0,0.249
Telekom Baskets Bonn,34,21,13,70.5,110.9,109.1,1.9,48.0,13.6,38.4,52.6,28.0,68.8,47.8,57.3,17.0,22.3,0.266
WALTER Tigers Tuebingen,34,10,24,72.6,103.3,113.5,-10.2,46.5,13.7,39.8,49.4,26.6,71.7,48.3,60.5,18.7,20.1,0.245
s.Oliver Baskets,34,11,23,71.1,102.8,108.5,-5.8,42.7,14.7,42.6,51.7,24.9,70.8,48.2,49.1,20.4,18.4,0.223
