Team,GP,Wins,Losses,Pace,OffRtg,DefRtg,NetRtg,Opp ND/FG,Opp MD/FG,Opp 3P/FG,Opp eFG%,Opp ORB%,Opp DRB%,Opp TRB%,Opp AST%,Opp TOV%,Opp FT/G,Opp FTr
ALBA BERLIN,34,27,7,71.1,115.1,98.2,16.9,47.7,16.5,35.8,47.1,27.8,65.6,46.5,50.3,22.3,24.1,0.258
Artland Dragons,34,20,14,71.0,107.9,108.1,-0.2,47.3,17.5,35.2,51.3,30.7,71.1,50.7,57.6,18.8,16.9,0.161
medi bayreuth,34,11,23,70.9,105.2,110.7,-5.5,51.5,11.1,37.4,51.5,28.7,69.7,48.6,51.1,16.1,23.7,0.212
Brose Baskets,34,28,6,70.5,113.5,100.2,13.4,51.1,15.9,33.0,48.0,29.3,70.2,48.6,52.9,20.2,17.0,0.181
EWE Baskets Oldenburg,34,25,9,72.3,112.5,105.5,7.0,43.7,23.3,33.1,49.1,30.0,71.1,50.3,48.5,19.0,22.2,0.217
Eisbaeren Bremerhaven,34,12,22,71.8,106.4,111.3,-4.8,49.4,14.5,36.0,52.5,31.8,63.2,47.2,53.4,17.3,19.6,0.177
FC Bayern Muenchen,34,29,5,72.1,119.5,102.1,17.4,42.3,16.2,41.5,48.6,25.9,68.2,46.2,57.6,18.4,17.6,0.180
FRAPORT SKYLINERS,34,14,20,68.3,102.4,106.6,-4.2,42.4,17.7,39.9,51.5,28.7,71.9,49.6,57.6,20.0,19.1,0.196
RASTA Vechta,34,6,28,73.3,104.1,113.6,-9.6,42.8,15.7,41.5,53.0,30.9,64.3,48.3,57.8,18.4,23.1,0.211
Mitteldeutscher BC,34,16,18,71.6,107.1,112.0,-4.8,53.7,18.9,27.4,53.3,31.7,71.9,52.6,45.8,17.8,21.6,0.193
MHP RIESEN Ludwigsburg,34,18,16,72.0,109.7,108.2,1.5,45.0,15.0,39.9,50.8,27.9,67.6,48.0,54.0,19.7,25.7,0.248
NY Phantoms Braunschweig,34,11,23,71.1,106.7,112.2,-5.4,48.7,15.2,36.1,52.4,31.7,75.1,53.1,51.9,18.1,20.5,0.195
Phoenix Hagen,34,15,19,77.2,104.3,110.1,-5.8,52.9,13.4,33.7,53.4,32.7,71.9,53.2,58.5,21.1,23.1,0.202
ratiopharm ulm,34,20,14,72.7,112.2,107.7,4.5,45.6,18.3,36.1,51.3,28.7,68.3,48.5,55.0,18.1,19.3,0.178
TBB Trier,34,12,22,70.3,104.8,110.3,-5.5,47.3,13.2,39.5,51.7,32.4,72.9,52.9,53.3,19.1,22.1,0.218
Telekom Baskets Bonn,34,21,13,70.5,110.9,109.1,1.9,50.1,15.7,34.1,53.0,31.2,72.0,52.2,48.9,20.3,19.6,0.187
WALTER Tigers Tuebingen,34,10,24,72.6,103.3,113.5,-10.2,46.5,15.4,38.0,54.3,28.3,73.4,51.7,56.0,17.8,21.2,0.197
s.Oliver Baskets,34,11,23,71.1,102.8,108.5,-5.8,46.6,15.1,38.3,51.7,29.2,75.1,51.8,56.1,18.2,22.2,0.207
