Team,GP,ND/FG,MD/FG,3P/FG,FTr
ALBA BERLIN,3,41.5,21.3,37.2,0.445
ratiopharm ulm,7,43.4,23.2,33.4,0.477
Brose Baskets,6,44.5,15.3,40.2,0.474
FRAPORT SKYLINERS,6,44.7,7.3,48,0.462
EWE Baskets Oldenburg,4,43.3,12.6,44.1,0.267
MHP RIESEN Ludwigsburg,5,44.1,18.7,37.1,0.298
FC Bayern Muenchen,8,42.1,21.8,36.1,0.49
s.Oliver Baskets,3,44.9,22.5,32.6,0.371
