Team,GP,W,L,Pace,OffRtg,DefRtg,NetRtg
ALBA BERLIN,3,0,3,69.4,93.6,114.3,-20.7
ratiopharm ulm,7,5,2,73.4,108.4,108.7,-0.3
Brose Baskets,6,6,0,71.3,133.2,92.4,40.8
FRAPORT SKYLINERS,6,4,2,71.4,110.6,96.9,13.7
EWE Baskets Oldenburg,4,1,3,74.5,109.7,115,-5.3
MHP RIESEN Ludwigsburg,5,2,3,72.8,107.6,112.5,-4.9
FC Bayern Muenchen,8,3,5,72.2,107.4,114.6,-7.2
s.Oliver Baskets,3,0,3,71,85.9,140.2,-54.3
