Team,GP,OffRtg,eFG%,ORB%,TOV%,FTr
ALBA BERLIN,3,93.6,41.5,33.9,22.6,0.445
ratiopharm ulm,7,108.4,53.2,28.1,20.1,0.477
Brose Baskets,6,133.2,62,29.1,12.8,0.474
FRAPORT SKYLINERS,6,110.6,56.2,28.1,20.3,0.462
EWE Baskets Oldenburg,4,109.7,54.9,23.1,17.1,0.267
MHP RIESEN Ludwigsburg,5,107.6,51.7,32,17.3,0.298
FC Bayern Muenchen,8,107.4,51.6,28.3,17.5,0.49
s.Oliver Baskets,3,85.9,37.9,26.4,16.9,0.371
