Team,GP,OppND/FG,OppMD/FG,Opp3P/FG,OppFTr
ALBA BERLIN,3,37.1,8.6,54.3,0.576
ratiopharm ulm,7,46.6,9.9,43.5,0.308
Brose Baskets,6,44.1,22.6,33.3,0.38
FRAPORT SKYLINERS,6,39.1,21.5,39.4,0.521
EWE Baskets Oldenburg,4,47.7,24.3,28,0.397
MHP RIESEN Ludwigsburg,5,41.5,21.3,37.2,0.55
FC Bayern Muenchen,8,44.9,18,37.2,0.324
s.Oliver Baskets,3,42.6,13.5,43.9,0.606
