Team,GP,OppFG%,Opp3P%,OppFT%,OppeFG%,OppTS%,OppPPS,OppPPP
ALBA BERLIN,3,45.7,40.2,80.5,56.6,62.8,1.6,1.14
ratiopharm ulm,7,47.3,36.8,76.3,55.3,58.6,1.34,1.09
Brose Baskets,6,39.7,27.8,69.5,44.3,48.8,1.15,0.92
FRAPORT SKYLINERS,6,39.1,34.4,79.4,45.9,53.5,1.33,0.97
EWE Baskets Oldenburg,4,49,41.8,82.1,54.8,59.9,1.42,1.15
MHP RIESEN Ludwigsburg,5,45,36.2,73.5,51.8,57.2,1.44,1.13
FC Bayern Muenchen,8,45.8,38.3,79.3,53,57.1,1.32,1.15
s.Oliver Baskets,3,60,48.5,81.9,70.6,74.3,1.91,1.4
