Team,GP,ORB%,DRB%,TRB%,AST%,TOV%,AST/TOV
ALBA BERLIN,3,33.9,71.4,50.3,66.1,22.6,0.83
ratiopharm ulm,7,28.1,74.9,52.2,59.9,20.1,1.04
Brose Baskets,6,29.1,76.3,55.8,71.2,12.8,2.38
FRAPORT SKYLINERS,6,28.1,73.4,51.8,72.9,20.3,1.27
EWE Baskets Oldenburg,4,23.1,64.6,43.3,65.2,17.1,1.47
MHP RIESEN Ludwigsburg,5,32,66.9,48.7,63.8,17.3,1.43
FC Bayern Muenchen,8,28.3,69.4,49.3,66.3,17.5,1.33
s.Oliver Baskets,3,26.4,69.4,42.5,75.8,16.9,1.31
