Team,GP,OppORB%,OppDRB%,OppTRB%,OppAST%,OppTOV%,OppAST/TOV
ALBA BERLIN,3,28.6,66.1,49.7,68.1,20.4,1.09
ratiopharm ulm,7,25.1,71.9,47.8,70.1,18.5,1.45
Brose Baskets,6,23.7,70.9,44.2,65.7,17.7,1.18
FRAPORT SKYLINERS,6,26.6,71.9,48.2,64.5,21.8,0.84
EWE Baskets Oldenburg,4,35.4,76.9,56.7,58.1,19.3,1.19
MHP RIESEN Ludwigsburg,5,33.1,68,51.3,71.7,16.9,1.49
FC Bayern Muenchen,8,30.6,71.7,50.7,63.8,14.5,1.76
s.Oliver Baskets,3,30.6,73.6,57.5,78.5,16.1,2.15
