Team,GP,DefRtg,OppeFG%,DRB%,OppTOV%,OppFTr
ALBA BERLIN,3,114.3,56.6,71.4,20.4,0.576
ratiopharm ulm,7,108.7,55.3,74.9,18.5,0.308
Brose Baskets,6,92.4,44.3,76.3,17.7,0.38
FRAPORT SKYLINERS,6,96.9,45.9,73.4,21.8,0.521
EWE Baskets Oldenburg,4,115,54.8,64.6,19.3,0.397
MHP RIESEN Ludwigsburg,5,112.5,51.8,66.9,16.9,0.55
FC Bayern Muenchen,8,114.6,53,69.4,14.5,0.324
s.Oliver Baskets,3,140.2,70.6,69.4,16.1,0.606
